Sem,Class,Course Code,Course Title,Course Coordinator,Theory,Practical/Tutorial,,
,,,,,,Batch-A,Batch-B,Batch-C
3,CV3 / ME3,SESH2110,Differential Methods & Complex Variable,BBB,BBB,BBB,MSA,
3,CV3 / CT3,SECV2310,Mechanics of Solids,SJS,SJS,SJS,SJS,
3,CV3,SECV2320,Building Materials & Construction Technology,PSM,,PSM,,
3,CV3 / CT3,SEME2350,Fluid Mechanics,RRR,RRR,RRR,,
3,CV3,SECV2330,Concrete Technology,SBB,SBB,SBB,,
3,CV3 / ME3,CFLS2140,Upper Intermediate Communicative English,AD,AD,,,
3,CV3 / ME3,CLSC2020,IPDC-I,SV,ID,,,
3,ME3 / MT3,SEME2301,Engineering Thermodynamics,SKA,SKA,,,
3,ME3,SEME2311,Material Science & Metallurgy,RDD,RDD,RDD,,
3,ME3,SEME2321,Manufacturing Technology-I,MTV,MTV,MTV,,
3,CH3,SESH2110,Differential Methods & Complex Variable,BBB,MSA,MSA,BBB,
3,CH3,SECH2290,Chemical Process Calculations,AVS,AVS,AVS,AVS,
3,CH3,SECH2300,Mechanical Operations,SBD,SBD,SBD,SBD,
3,CH3,SECH2310,Fluid Flow Operations,BKT,BKT,BKT,BKT,
3,CH3,SECH2320,Materials Science and Technology,SSS,SSS,,,
3,CH3,CFLS2140,Upper Intermediate Communicative English,AD,AD,,,
3,CH3,CLSC2020,IPDC-I,SV,ID,,,
3,CE3+CSE3D,SESH2150,Discrete Structures & Graph Theory,HSL,HSL,HSL,MBN,
3,CE3+CSE3D,SECE2280,Database Management System,DAG,DAG,DAG,SEC,
3,CE3+CSE3D,SECE2291,Data Structures,JAP,JAP,JAP,SUN,
3,CE3+CSE3D,SEIT2250,Object Oriented Programming with Java,ANA,THK,THK,ANY,
3,CE3+CSE3D,SECE2250,Computer Organization & Architecture,DKP,RKY,,,
3,CE3+CSE3D,CFLS2140,Upper Intermediate Communicative English,AD,AD,,,
3,CE3+CSE3D,CLSC2020,IPDC-I,SV,ID,,,
3,MLAI3A,SESH2150,Discrete Structures & Graph Theory,HSL,KMM,KMM,PDD,
3,MLAI3A,SECE2280,Database Management System,DAG,DAG,DAG,SEC,
3,MLAI3A,SECE2291,Data Structures,JAP,RKY,RKY,SUS,
3,MLAI3A,SEIT2250,Object Oriented Programming with Java,ANA,SHP,SHP,THK,
3,MLAI3A,SEIT2270,Web Application Development,ZKG,,ZKG,RKT,
3,MLAI3A,CFLS2140,Upper Intermediate Communicative English,AD,JR,,,
3,MLAI3A,CLSC2020,IPDC-I,SV,PB,,,
3,MLAI3B,SESH2150,Discrete Structures & Graph Theory,HSL,KAB,KAB,KMM,
3,MLAI3B,SECE2280,Database Management System,DAG,ASH,ASH,DAG,
3,MLAI3B,SECE2291,Data Structures,JAP,JAP,JAP,JAP,
3,MLAI3B,SEIT2250,Object Oriented Programming with Java,ANA,SHP,SHP,THK,
3,MLAI3B,SEIT2270,Web Application Development,ZKG,,ZKG,RKT,
